CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME FORMATTED
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
-2.40507E1,0E0
-2.38105E1,0E0
-2.35996E1,0E0
-2.33896E1,0E0
-2.33310E1,0E0
-2.33339E1,0E0
-2.31152E1,0E0
-2.28623E1,0E0
-2.27763E1,0E0
-2.27294E1,0E0
-2.26230E1,0E0
-2.22617E1,0E0
-2.18613E1,0E0
-2.18066E1,0E0
-2.18076E1,0E0
-2.16914E1,0E0
-2.13974E1,0E0
-2.11572E1,0E0
-2.13642E1,0E0
-2.15293E1,0E0
-2.13173E1,0E0
-2.09716E1,0E0
-2.07587E1,0E0
-2.08066E1,0E0
-2.08027E1,0E0
-2.04209E1,0E0
-2.01357E1,0E0
-2.00273E1,0E0
-2.00224E1,0E0
-2.00205E1,0E0
-1.98095E1,0E0
-1.96748E1,0E0
-1.96865E1,0E0
-1.96445E1,0E0
-1.95869E1,0E0
-1.94248E1,0E0
-1.92080E1,0E0
-1.91933E1,0E0
-1.90224E1,0E0
-1.87246E1,0E0
-1.84960E1,0E0
-1.83808E1,0E0
-1.84326E1,0E0
-1.83418E1,0E0
-1.80732E1,0E0
-1.80400E1,0E0
-1.81767E1,0E0
-1.82597E1,0E0
-1.81054E1,0E0
-1.77861E1,0E0
-1.77714E1,0E0
-1.78564E1,0E0
-1.77109E1,0E0
-1.74531E1,0E0
-1.71826E1,0E0
-1.72207E1,0E0
-1.73857E1,0E0
-1.72353E1,0E0
-1.70214E1,0E0
-1.70537E1,0E0
-1.725E1,0E0
-1.74375E1,0E0
-1.72763E1,0E0
-1.71328E1,0E0
-1.71982E1,0E0
-1.73300E1,0E0
-1.72802E1,0E0
-1.69648E1,0E0
-1.67861E1,0E0
-1.69736E1,0E0
-1.70439E1,0E0
-1.69668E1,0E0
-1.68623E1,0E0
-1.68115E1,0E0
-1.70507E1,0E0
